Id,Retweets,Favorites,Hashtags,Medias,Mentions,SenderId,SenderFavorites,SenderFollowings,SenderFollowers,SenderStatues,Letter,Words,AvgWordLength,IsCyberbullying
1157340000000000000.00,37,137,0,0,0,213667695,0,0,6933,22,63,13,4,FALSE
1157540000000000000.00,49,283,0,4,0,158403137,112,73,68280,46078,176,28,6,FALSE
1157680000000000000.00,143,831,0,0,0,178514496,4498,210,159382,5019,84,10,8,FALSE
1157930000000000000.00,155,50,0,1,0,128205136,4597,440,28648,5473,221,49,4,FALSE
1157950000000000000.00,69,1941,0,0,0,106791383,355378,535,4872,43112,63,10,6,TRUE
1157960000000000000.00,58,272,0,0,0,138892081,6,485,847326,16729,220,39,5,FALSE
1157960000000000000.00,3,8,0,0,1,162348219,459,193,17051,2114,11,2,5,FALSE
1158030000000000000.00,136,174,3,1,1,193735382,1207,73,8954,9955,162,20,8,FALSE
1158050000000000000.00,72,2740,0,0,0,103610520,3954,328,244107,10254,34,6,5,FALSE
1158050000000000000.00,176,2327,0,0,0,113610282,1629,1038,190291,35746,98,15,6,FALSE
1158100000000000000.00,164,806,0,1,0,105589340,13375,201,135403,5139,216,34,6,FALSE
1158100000000000000.00,164,1298,0,0,0,194697745,4791,633,11157,1368,118,17,6,FALSE
1158120000000000000.00,2303,9905,0,0,0,173315794,25272,1736,398342,1478,212,31,6,FALSE
1158160000000000000.00,1523,25939,0,0,0,121096624,3586,1063,791512,2754,29,5,5,FALSE
1158280000000000000.00,39,110,1,1,0,109217956,9113,235,811926,23772,204,28,7,FALSE
1158280000000000000.00,34,266,2,1,0,166092949,1683,100,1172156,97347,63,11,5,FALSE
1158310000000000000.00,681,4621,0,1,0,150128811,10344,254,286394,5091,35,8,4,FALSE
1158310000000000000.00,17,72,0,1,0,219248343,0,4,2901772,155988,163,27,6,FALSE
1158320000000000000.00,140,2276,0,0,0,106093163,37368,528,53804,63780,198,35,5,FALSE
1158350000000000000.00,8,61,0,4,0,114784239,3136,381,12187,13412,227,30,7,FALSE
1158350000000000000.00,40,308,0,2,0,101454251,54,13,270307,15295,129,21,6,FALSE
1158350000000000000.00,75,562,0,2,0,212292237,2817,485,46680,8131,68,11,6,FALSE
1158360000000000000.00,24,107,0,1,0,158403137,112,73,68280,46078,164,29,5,FALSE
1158360000000000000.00,35,259,0,0,0,113610282,1629,1038,190291,35746,128,19,6,FALSE
1158370000000000000.00,22,287,0,2,0,110846621,698,291,358932,68767,25,4,6,FALSE
1158370000000000000.00,10,77,0,1,0,185769572,7,19,64218,7617,43,9,4,FALSE
1158380000000000000.00,54,193,0,1,0,164270848,2923,321,6808,4024,113,16,7,FALSE
1158380000000000000.00,3,0,0,0,0,183152161,4,331,187602,74328,114,20,5,FALSE
1158380000000000000.00,0,0,0,0,1,139436281,676,572,212,1424,33,6,5,FALSE
1158380000000000000.00,0,0,0,0,0,167568323,3513,12,614,1929,33,8,4,FALSE
1158380000000000000.00,0,0,0,0,2,168834213,260,467,234,7246,59,9,6,TRUE
1158380000000000000.00,1,1,0,0,0,228361479,335,168612,268352,289903,33,5,6,FALSE
1158380000000000000.00,10,120,0,0,0,127202275,1239,311,17272,8982,26,4,6,FALSE
1158380000000000000.00,26,45,0,0,0,219459066,29915,1408,142471,34367,66,12,5,FALSE
1158390000000000000.00,0,0,0,0,1,166304945,2716,338,179,4388,217,39,5,FALSE
1158390000000000000.00,0,0,1,0,0,189851121,7562,413,511,2821,54,7,7,FALSE
1158390000000000000.00,0,0,0,0,0,178048778,2721,350,216,3916,159,26,6,FALSE
1158390000000000000.00,0,0,0,0,1,138370332,17711,2388,1305,6860,41,8,5,FALSE
1158390000000000000.00,0,0,0,0,0,153042209,111,17,73509,38012,70,13,5,FALSE
1158390000000000000.00,9,49,0,3,2,172261312,1,7,9652,3812,208,30,6,FALSE
1158390000000000000.00,65,394,0,1,0,214930248,850,1185,918495,24210,142,24,5,FALSE
1158390000000000000.00,0,0,0,0,0,131967319,9495,237,406,13964,83,16,5,FALSE
1158400000000000000.00,13,90,0,1,0,212292237,2817,485,46680,8131,90,15,6,FALSE
1158400000000000000.00,0,11,0,1,1,99728911,4072,690,640,8470,39,9,4,FALSE
